"id","text"
"17970412394014977","Kalau cuma punya certificate AI tapi gak ada Data certificate bisa gak min?"
"17959664516499709","Kak buat studi independen batch 4 skrg buka gak ya ?"
"18337423543043798","@swunoei Hi Kak, sudah dibuka kak, silakan daftarkan diri melalui tautan https://go.maribelajar.org/msib. terima kasih"
"17983186546875183","@nahrul.k Hi kak, tidak masalah kak, boleh salah satu saja. terima kasih"
"18175546870254425","@maribelajar_id astagfirullah 😢, batesnya 8 Januari loh min, dibalas nya 16 Januari 😢"
"17951647792733709","Keren.. selamat untuk para pemenang..🔥"
"17935034183317011","mantapp😍🔥"
"17941031731822189","Berbayar atau gratis kak?"
"17955712150721657","@jrmatheos gratis kak ☺️"
"17969676076526618","Uang saku yang tertulis 1,2juta perbulan berubah menjadi 400ribu ya perbulan?"
"17883435401572073","@awesomevideos.id hallo kak, jangan lupa untuk ikuti penjelasan terkait uang saku besok yaa 😉"
"17950332004751821","https://twitter.com/biayswife/status/1504800460481335296?t=2kx0enoO8EM4Dxr9nJExvQ&s=19 Review dari batch 2 untuk mari belajar"
"17940079378944352","🔥"
"17939350813855630","Halo kaka admin, apakah semua orang dapat ikut walau belum bekerja?"
"17937523333784844","@syayafa Hi Kak Syafa, diperkenankan kak, silakan mendaftar 😊"
"17926542986081852","Min, tolong cek dm ya, terimakasih🙏🏻"
"18281059108011356","@ninisfi oke kak 😊"
"17987782321441503","Selamat malam kak, mohon maaf mengganggu. Saya mau membuka link format surat pernyataan tanggung jawab mutlak mahasiswa tetapi isinya susah dihapus dan tidak tersedia. Saya harap mendapatkan link baru, soalnya sudah dekat tanggal 5. Terima kasih."
"17932044895959740","@tianiexo sudah maksudnya"
"18129110761252343","@tianiexo halo kak, surat Pernyataan Tanggung Jawab Mutlak dapat diunduh di website Maribelajar.co.id"
"17983318876454136","@maribelajar_id ok kak, mohon maaf merepotkan"
"17909385692267826","Halo min, tolong cek dm ya"
"17914314866175108","@maribelajar_id min saya masih belum mendapatkan gmail terkait mengikuti on boarding... Apakah masih dalam artian ya pengiriman nya??"
"17927784155038459","Jam kerja ya, Min? Sayang sekali... Ada relaynya di youtube ga?"
"18005149063380785","Halo min, tolong cek dm yaa. Terima kasih🙏"
"17856370013667987","Halo min @maribelajar_id , minta tolong cek dm ya, saya menerima email undangan on boarding dan akun microsoft 365 dengan jalur lain bukan yg saya daftar sebelumnya, terimakasih."
"17848525460713324","Hi kak, bisa diabaikan email sebelumnya ya, dan email yang sesuai dg jalur pembelajaran yang kakak pilih telah kami kirimkan.terima kasih"
"18186293080088397","@dheazah3 hi kak, silakan cek email kembali ya"
"17891213285570427","Cek dm min tolong🙏🏻"
"18213437968185813","@maribelajar_id kalau untuk bbrp kolom data PIC Kampus di form pengumpulan dokumen adminstratif itu Koordinator MBKM Universitas ya min? atau boleh dosen pembimbing MBKM?. Terimakasih."
"17932173718874035","Hi kak, Boleh pembimbing, namun disarankan dpt diisi dg pic kampus"
"17988319570439640","@maribelajar_id baik kak terimakasih infonya"
