Unnamed: 0,text_bersih,preprocessing_result,polarity,subjectivity,sentimen,cluster
380,,-0.11487215751657102,0.0,0.0,netral,2
569,,-0.11487215751657102,0.0,0.0,netral,2
135,,-0.11487215751657102,0.0,0.0,netral,2
584,,-0.11487215751657102,0.0,0.0,netral,2
134,,-0.11487215751657102,0.0,0.0,netral,2
133,,-0.11487215751657102,0.0,0.0,netral,2
828,,-0.11487215751657102,0.0,0.0,netral,2
374,,-0.11487215751657102,0.0,0.0,netral,2
517,,-0.11487215751657102,0.0,0.0,netral,2
580,,-0.11487215751657102,0.0,0.0,netral,2
579,,-0.11487215751657102,0.0,0.0,netral,2
107,,-0.11487215751657102,0.0,0.0,netral,2
106,,-0.11487215751657102,0.0,0.0,netral,2
105,,-0.11487215751657102,0.0,0.0,netral,2
666,,-0.11487215751657102,0.0,0.0,netral,2
532,,-0.11487215751657102,0.0,0.0,netral,2
72,,-0.11487215751657102,0.0,0.0,netral,2
71,,-0.11487215751657102,0.0,0.0,netral,2
68,httpsgomaribelajarorgdaftarMSIB,-0.11487215751657102,0.0,0.0,netral,2
813,,-0.11487215751657102,0.0,0.0,netral,2
564,,-0.11487215751657102,0.0,0.0,netral,2
571,,-0.11487215751657102,0.0,0.0,netral,2
384,,-0.11487215751657102,0.0,0.0,netral,2
146,,-0.11487215751657102,0.0,0.0,netral,2
136,,-0.11487215751657102,0.0,0.0,netral,2
232,,-0.11487215751657102,0.0,0.0,netral,2
767,,-0.11487215751657102,0.0,0.0,netral,2
593,,-0.11487215751657102,0.0,0.0,netral,2
728,,-0.11487215751657102,0.0,0.0,netral,2
333,,-0.11487215751657102,0.0,0.0,netral,2
906,,-0.11487215751657102,0.0,0.0,netral,2
230,,-0.11487215751657102,0.0,0.0,netral,2
599,,-0.11487215751657102,0.0,0.0,netral,2
852,,-0.11487215751657102,0.0,0.0,netral,2
886,,-0.11487215751657102,0.0,0.0,netral,2
402,,-0.11487215751657102,0.0,0.0,netral,2
883,,-0.11487215751657102,0.0,0.0,netral,2
11,,-0.11487215751657102,0.0,0.0,netral,2
894,aaaaaa kereeeeen bgtt sipipp,-0.1185426415601571,0.0,0.0,netral,2
640,AAAAAAAAA KEREN BANGET BESTIE,-0.12221312560374319,0.0,0.0,netral,2
373,aamiin makasii tp km jg cantik kak,-0.12588360964732928,0.0,0.0,netral,2
789,Abangg kita ni ah ciciliasinaga ,-0.12955409369091536,0.0,0.0,netral,2
367,adekmuaa,-0.13322457773450144,0.0,0.0,netral,2
410,adiradiva 2,-0.13689506177808752,0.0,0.0,netral,2
412,adiradiva ayo uppp,-0.1405655458216736,0.0,0.0,netral,2
406,aditadz mohon bantuannya kaq Adit wkwk,-0.14423602986525969,0.0,0.0,netral,2
617,aditcahyono info pemecahan batu bara,-0.1479065139088458,0.0,0.0,netral,2
916,adnusa nuhun mang,-0.15157699795243187,0.0,0.0,netral,2
1013,Aduduhhhhh,-0.15524748199601796,0.0,0.0,netral,2
75,afradillah77 Hi kak dapat ditanda tangani oleh pihak level universitas kak misalnya wakil rektor,-0.15891796603960404,0.0,0.0,netral,2
718,afridagea hallo kak program hari ini yaitu on boarding nasional cek email untuk informasi lainnya ,-0.16258845008319012,0.0,0.0,netral,2
279,agil done kak ,-0.1662589341267762,0.0,0.0,netral,2
286,agil sudah kak ,-0.1699294181703623,0.0,0.0,netral,2
860,agitaberlian mulai,-0.1735999022139484,0.0,0.0,netral,2
858,agitaberlian iya lo disik an dirimu tapi,-0.17727038625753447,0.0,0.0,netral,2
863,agitaberlian sudah2 jangan rebutan saya,-0.18094087030112055,0.0,0.0,netral,2
861,agitaberlian Ya Tuhan,-0.18461135434470663,0.0,0.0,netral,2
164,agusspresley beluum kak,-0.1882818383882927,0.0,0.0,netral,2
156,agusspresley lolos kak,-0.1919523224318788,0.0,0.0,netral,2
158,agusspresley ngambil apa bang,-0.1956228064754649,0.0,0.0,netral,2
162,agusspresley wah samaa kak,-0.19929329051905098,0.0,0.0,netral,2
160,agusspresley pengumuman nya dimana kak,-0.20296377456263706,0.0,0.0,netral,2
779,agyataaaa heem filan,-0.20663425860622314,0.0,0.0,netral,2
422,ahjayadi lanjutkan pak ,-0.21030474264980922,0.0,0.0,netral,2
623,ahraffaa kodomo ae cek dadi teman baikmu,-0.2139752266933953,0.0,0.0,netral,2
721,aidaaa52 akuu data analysts,-0.21764571073698138,0.0,0.0,netral,2
723,aidaaa52 akuuu,-0.2213161947805675,0.0,0.0,netral,2
720,aidaaa52 lagi nyari temen se program hehe,-0.22498667882415357,0.0,0.0,netral,2
740,aih kerennyaaa ,-0.22865716286773966,0.0,0.0,netral,2
995,ajarin MySQL dungs bosQ,-0.23232764691132574,0.0,0.0,netral,2
999,Aktipepollllll,-0.23599813095491182,0.0,0.0,netral,2
355,aldooo29 alhamdulillah aamiin ayaaaaaaaanggggggggg,-0.2396686149984979,0.0,0.0,netral,2
979,aleisya01 hi dear jika berkas sptjmsr mu sesuai maka pretest sudah kami kirimkan pertanggal 30 Januari kemarin mohon pastikan memeriksa folder spam atau promosi juga Terima kasih,-0.243339099042084,0.0,0.0,netral,2
462,alfinasyntiaas wkwkwk Thank You piin,-0.2470095830856701,0.0,0.0,netral,2
347,Alhamdulilah berkah ilmu nya ayanggg ,-0.25068006712925617,0.0,0.0,netral,2
455,Alhamdulillah bapak bangga part 2,-0.2543505511728422,0.0,0.0,netral,2
501,Alhamdulillah Kerennn Semangat ya,-0.25802103521642833,0.0,0.0,netral,2
457,Alhamdulillah selamat dindaa,-0.26169151926001444,0.0,0.0,netral,2
902,Alhamdulillahsukses terus mas riyansobirin ,-0.2653620033036005,0.0,0.0,netral,2
210,alviiinisn dm ya kak,-0.2690324873471866,0.0,0.0,netral,2
524,ampun bang jago,-0.27270297139077265,0.0,0.0,netral,2
777,Ampun para suhu lalaln27 yusufanggi04,-0.27637345543435876,0.0,0.0,netral,2
314,Ampunn suhuuuu,-0.28004393947794487,0.0,0.0,netral,2
